time,avg_service_a,avg_service_b,avg_service_p,avg_service
300,0.6804684405409007,2.1861114613595176,2.080118250054011,6.30763503303623
600,0.7658382042310714,2.142494719724832,2.441189966234527,6.881199298652573
900,0.7970660748874988,2.7607479162070625,2.0561155122018215,7.20806165307138
1200,0.7903792742136204,2.779468326384553,1.9128680894000312,7.063474238425445
1500,0.743776538687741,2.827475266581314,1.8502791254703042,6.909084008114841
1800,0.760506654663938,3.174831684697514,1.9441886951337628,7.40054034382309
2100,0.7379669413938594,3.122009991775255,1.9089336064933178,7.244844422450151
2400,0.732135096039285,2.986223646441117,1.9649908742689017,7.147619808827874
2700,0.7385311115375589,3.104634572734943,1.9363808060887826,7.256608713436403
3000,0.7440997726150737,3.142161049707676,2.041659683531378,7.416120051084276
3300,0.7444540810391183,3.1629655248870816,2.068430387828844,7.46475815583328
3600,0.7379161921365972,3.0909343706210923,2.0279613709530553,7.332644317983939
3900,0.7287395410356965,3.046816201212821,2.0478017383892433,7.280836562709153
4200,0.7343361912533718,3.2377384249358445,2.0520400260829468,7.492787024778908
4500,0.7420364068212563,3.2340487463642402,2.0368409310191473,7.496998897847156
4800,0.7336919776002518,3.1861099979387038,2.0072168402052353,7.394402770944694
5100,0.7338625484382294,3.150722259899383,2.026598658350706,7.378908563564776
5400,0.727995144361202,3.144590211542916,2.0157914113809445,7.344367056007466
5700,0.730532038092137,3.1560192735900223,1.9873714568673477,7.334986844733781
6000,0.7342141123844727,3.0965250636792776,1.9659014700129323,7.265068870845628
6300,0.7366206069061683,3.0548535177071883,1.9495522872269364,7.21426762565263
6600,0.746465312585408,3.091889226169783,1.9475345895277663,7.2788197534537735
6900,0.7531989542160052,3.1020840691491474,1.970700061822795,7.332380993619958
7200,0.7687224739728191,3.0875127466847823,1.9787172245558773,7.372397393159117
7500,0.7826071735701282,3.237465298345298,1.993157523877459,7.578444342933142
7800,0.7852357311299325,3.2330831266146545,2.0527745667723227,7.6415648867767745
8100,0.7830114726198223,3.253382142455469,2.050352493262372,7.652769053577307
8400,0.7902577303265377,3.282803084966157,2.0875246416504987,7.741100917596269
8700,0.7895904423637052,3.2631283186769346,2.080148856560484,7.712048502328535
9000,0.7908999634727689,3.287068755843515,2.073930176952719,7.733698823214541
9300,0.7864785619526783,3.3429879957844286,2.0632277913962627,7.765651473038726
9600,0.7831136843538455,3.3002411517203214,2.0846496077410417,7.7342318125229
9900,0.7883818033141295,3.293660295163642,2.0740583209744554,7.732864026080486
10200,0.792519731570224,3.272346632314215,2.06854882697082,7.718454653995707
10500,0.802039663945351,3.2481861988764225,2.058723439554218,7.7130286302666935
10800,0.7987957302710377,3.2605034718536134,2.0620143958713015,7.718905058538028
11100,0.8048990639716722,3.2790015432849624,2.0548533463381733,7.748552081538152
11400,0.8064732808918958,3.2888348585712874,2.048726374022891,7.7569810752698665
